name,length_ft,endpoint_a,endpoint_b,intersection_to_intersection,wholly_inside,source_segments,source_ids,lon,lat
LEMOYNE AVENUE,28.4070572481686,STEDMAN STREET,WILLUMAE DRIVE,True,True,1,800051976,-76.15655080449586,43.07874145641498
ALMOND STREET,28.813390664169543,CATHERINE STREET;ERIE BOULEVARD EAST,ERIE BOULEVARD EAST,True,True,1,477434994,-76.14211677756165,43.05077611358553
COURT STREET,29.027654673164083,WILLUMAE DRIVE,MICHAELS AVENUE,True,True,1,477428361,-76.15048129706382,43.076282621168545
STRATHMORE DRIVE,29.389569908893215,WELLESLEY ROAD,WEST COLVIN STREET,True,True,1,800050899,-76.16927500008349,43.02268016621375
BROOKFORD ROAD,30.846041652124995,DEAD END / SAME-NAME BRANCH,WOODSIDE DRIVE,False,True,1,477439939,-76.09726597279943,43.03472800858777
CORTLAND AVENUE,31.352647479314914,ALEXANDER AVENUE,OXFORD STREET,True,True,1,477440157,-76.1519767975249,43.03397859382879
SCOTT AVENUE,31.740082324977642,SCOTTHOLM BOULEVARD,SCOTTHOLM BOULEVARD,True,True,1,477437620,-76.1093613268112,43.04228507786248
EAST ADAMS STREET,31.81329698843097,ALMOND STREET,MONROE STREET,True,True,1,507666605,-76.14221279264258,43.04271361444138
GLENCOVE ROAD,31.82261798158305,FOREST HILL DRIVE,FOREST HILL DRIVE,True,True,1,477430911,-76.11092977046201,43.06385814140158
SUNNYCREST ROAD,32.64196552150304,FOREST HILL DRIVE,FOREST HILL DRIVE,True,True,1,477431443,-76.11073229650809,43.061590109300475
NORTHCLIFFE ROAD,32.92174402107814,FOREST HILL DRIVE,FOREST HILL DRIVE,True,True,1,477430394,-76.11113778075651,43.06613061726633
TERRACE ROAD,32.97632773856629,BERKELEY DRIVE,BERKELEY DRIVE,True,True,1,477440715,-76.12664537192744,43.03196367528771
RAMSEY AVENUE,32.98660172676129,SCOTTHOLM BOULEVARD,SCOTTHOLM BOULEVARD,True,True,1,477437719,-76.10797026582665,43.04187113677112
SOUTH SALINA STREET,33.06786954120225,EAST CATHROP AVENUE,EAST CATHROP AVENUE,True,True,1,509994537,-76.14123176048192,43.01665461111553
FORDLAND AVENUE,33.09273463062313,WILLUMAE DRIVE,WILLUMAE DRIVE,True,True,1,477428291,-76.15122528986981,43.07668112138477
TURTLE STREET,33.45029233679674,BURDICK AVENUE,BURDICK AVENUE,True,True,1,477428268,-76.15403678763965,43.07678814257157
HAZELWOOD AVENUE,33.794415123164654,AUDUBON PARKWAY,AUDUBON PARKWAY,True,True,1,477434429,-76.09525428284137,43.051833117253736
CORTLAND AVENUE,33.88002436575995,DEAD END / SAME-NAME BRANCH,TALLMAN STREET,False,True,1,800067175,-76.15064716424426,43.036435899196285
CADILLAC STREET,34.324404306087445,WILLUMAE DRIVE,WILLUMAE DRIVE,True,True,1,477428201,-76.15222531510663,43.07708761960058
SOUTH STATE STREET,34.77408850512365,EAST BORDEN AVENUE,EAST BORDEN AVENUE,True,True,1,477441640,-76.14444862840274,43.02819938146963
VALLEY DRIVE,34.83001303551256,WENTE TERRACE,ATLANTIC AVENUE,True,True,1,477444483,-76.15723624932873,43.010894616741275
SEYMOUR STREET,35.250598109983436,SOUTH WEST STREET,WEST STREET ARTERIAL NORTHBOUND,True,True,1,477437497,-76.15776060631198,43.04256778499845
NORTH GEDDES STREET,35.446485678496394,EDISON STREET,EDISON STREET,True,True,1,800051096,-76.17045422797099,43.0555122540265
HARRISON STREET,35.797400115528944,SOUTH TOWNSEND STREET,SOUTH TOWNSEND STREET,True,True,1,477436939,-76.14517026349785,43.044287630331034
JAMES STREET,36.01775751717603,COOK AVENUE,PECK AVENUE,True,True,1,477430231,-76.1188752353235,43.066879121788475
GIFFORD STREET,36.117915642146684,WEST STREET ARTERIAL NORTHBOUND,SOUTH WEST STREET,True,True,1,477437213,-76.15794964149228,43.04346528139691
EAST CATHROP AVENUE,36.301374210988655,DEAD END / SAME-NAME BRANCH,DEAD END / SAME-NAME BRANCH,False,True,1,509994543,-76.13945381219669,43.01673059000567
MOUNTAINVIEW AVENUE,36.707145137999795,AUDUBON PARKWAY,AUDUBON PARKWAY,True,True,1,477434852,-76.09518676950741,43.050982125440065
